Overall_rank,Year,Country,Region,Score,GDP,Social_Support,Health_life_expectancy,Freedom_to_choices,Generosity,Perceptions_of_corruption
121,2015,Nepal,Southern Asia,4.514,0.36,0.864,0.569,0.383,0.323,0.059
132,2015,Sri Lanka,Southern Asia,4.271,0.835,1.019,0.708,0.537,0.408,0.092
153,2015,Afghanistan,Southern Asia,3.575,0.32,0.303,0.303,0.234,0.365,0.097
84,2016,Bhutan,Southern Asia,5.196,0.853,0.908,0.498,0.461,0.485,0.162
92,2016,Pakistan,Southern Asia,5.132,0.688,0.261,0.403,0.146,0.312,0.139
107,2016,Nepal,Southern Asia,4.793,0.446,0.697,0.501,0.37,0.382,0.07
110,2016,Bangladesh,Southern Asia,4.643,0.542,0.247,0.53,0.398,0.191,0.126
117,2016,Sri Lanka,Southern Asia,4.415,0.973,0.848,0.62,0.508,0.47,0.08
118,2016,India,Southern Asia,4.404,0.74,0.292,0.451,0.403,0.25,0.087
154,2016,Afghanistan,Southern Asia,3.36,0.382,0.11,0.173,0.164,0.313,0.071
80,2017,Pakistan,Southern Asia,5.269,0.727,0.673,0.402,0.235,0.315,0.124
97,2017,Bhutan,Southern Asia,5.011,0.885,1.34,0.496,0.502,0.474,0.173
99,2017,Nepal,Southern Asia,4.962,0.48,1.179,0.504,0.44,0.394,0.073
110,2017,Bangladesh,Southern Asia,4.608,0.587,0.735,0.533,0.478,0.172,0.124
120,2017,Sri Lanka,Southern Asia,4.44,1.01,1.26,0.625,0.561,0.491,0.074
122,2017,India,Southern Asia,4.315,0.792,0.754,0.455,0.47,0.232,0.092
141,2017,Afghanistan,Southern Asia,3.794,0.401,0.582,0.181,0.106,0.312,0.061
75,2018,Pakistan,Southern Asia,5.472,0.652,0.81,0.424,0.334,0.216,0.113
97,2018,Bhutan,Southern Asia,5.082,0.796,1.335,0.527,0.541,0.364,0.171
101,2018,Nepal,Southern Asia,4.88,0.425,1.228,0.539,0.526,0.302,0.078
115,2018,Bangladesh,Southern Asia,4.5,0.532,0.85,0.579,0.58,0.153,0.144
116,2018,Sri Lanka,Southern Asia,4.471,0.918,1.314,0.672,0.585,0.307,0.05
133,2018,India,Southern Asia,4.19,0.721,0.747,0.485,0.539,0.172,0.093
145,2018,Afghanistan,Southern Asia,3.632,0.332,0.537,0.255,0.085,0.191,0.036
67,2019,Pakistan,Southern Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098
95,2019,Bhutan,Southern Asia,5.082,0.813,1.321,0.604,0.457,0.37,0.167
100,2019,Nepal,Southern Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089
125,2019,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143
130,2019,Sri Lanka,Southern Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047
140,2019,India,Southern Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085
154,2019,Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0,0.158,0.025
142,2018,Angola,Southern Africa,3.795,0.73,1.125,0.269,0,0.079,0.061
24,2015,Singapore,Southeastern Asia,6.798,1.522,1.02,1.025,0.543,0.311,0.492
34,2015,Thailand,Southeastern Asia,6.455,0.967,1.265,0.739,0.557,0.576,0.032
61,2015,Malaysia,Southeastern Asia,5.77,1.125,1.07,0.724,0.53,0.331,0.105
74,2015,Indonesia,Southeastern Asia,5.399,0.828,1.087,0.638,0.466,0.515,0
75,2015,Vietnam,Southeastern Asia,5.36,0.632,0.912,0.747,0.594,0.169,0.104
90,2015,Philippines,Southeastern Asia,5.073,0.705,1.035,0.581,0.625,0.25,0.123
99,2015,Laos,Southeastern Asia,4.876,0.591,0.738,0.549,0.596,0.422,0.242
129,2015,Myanmar,Southeastern Asia,4.307,0.271,0.709,0.482,0.44,0.796,0.19
145,2015,Cambodia,Southeastern Asia,3.819,0.46,0.627,0.611,0.662,0.404,0.072
22,2016,Singapore,Southeastern Asia,6.739,1.646,0.868,0.947,0.488,0.327,0.47
33,2016,Thailand,Southeastern Asia,6.474,1.089,1.045,0.649,0.496,0.587,0.028
47,2016,Malaysia,Southeastern Asia,6.005,1.251,0.88,0.624,0.39,0.415,0.091
79,2016,Indonesia,Southeastern Asia,5.314,0.951,0.876,0.494,0.392,0.565,0.003
82,2016,Philippines,Southeastern Asia,5.279,0.812,0.879,0.47,0.549,0.217,0.118
96,2016,Vietnam,Southeastern Asia,5.061,0.74,0.791,0.662,0.56,0.251,0.116
102,2016,Laos,Southeastern Asia,4.876,0.68,0.55,0.383,0.522,0.431,0.224
119,2016,Myanmar,Southeastern Asia,4.395,0.341,0.7,0.399,0.427,0.82,0.202
140,2016,Cambodia,Southeastern Asia,3.907,0.556,0.538,0.425,0.589,0.403,0.081
26,2017,Singapore,Southeastern Asia,6.572,1.692,1.354,0.949,0.55,0.346,0.464
32,2017,Thailand,Southeastern Asia,6.424,1.128,1.426,0.647,0.58,0.572,0.032
42,2017,Malaysia,Southeastern Asia,6.084,1.291,1.285,0.619,0.402,0.417,0.066
72,2017,Philippines,Southeastern Asia,5.43,0.858,1.254,0.468,0.585,0.194,0.099
81,2017,Indonesia,Southeastern Asia,5.262,0.996,1.274,0.492,0.443,0.612,0.015
94,2017,Vietnam,Southeastern Asia,5.074,0.789,1.277,0.652,0.571,0.235,0.088
114,2017,Myanmar,Southeastern Asia,4.545,0.367,1.123,0.398,0.514,0.838,0.189
129,2017,Cambodia,Southeastern Asia,4.168,0.602,1.006,0.43,0.633,0.386,0.068
34,2018,Singapore,Southeastern Asia,6.343,1.529,1.451,1.008,0.631,0.261,0.457
35,2018,Malaysia,Southeastern Asia,6.322,1.161,1.258,0.669,0.356,0.311,0.059
46,2018,Thailand,Southeastern Asia,6.072,1.016,1.417,0.707,0.637,0.364,0.029
71,2018,Philippines,Southeastern Asia,5.524,0.775,1.312,0.513,0.643,0.12,0.105
95,2018,Vietnam,Southeastern Asia,5.103,0.715,1.365,0.702,0.618,0.177,0.079
96,2018,Indonesia,Southeastern Asia,5.093,0.899,1.215,0.522,0.538,0.484,0.018
110,2018,Laos,Southeastern Asia,4.623,0.72,1.034,0.441,0.626,0.23,0.174
120,2018,Cambodia,Southeastern Asia,4.433,0.549,1.088,0.457,0.696,0.256,0.065
130,2018,Myanmar,Southeastern Asia,4.308,0.682,1.174,0.429,0.58,0.598,0.178
34,2019,Singapore,Southeastern Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453
52,2019,Thailand,Southeastern Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028
69,2019,Philippines,Southeastern Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107
80,2019,Malaysia,Southeastern Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
92,2019,Indonesia,Southeastern Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
94,2019,Vietnam,Southeastern Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073
105,2019,Laos,Southeastern Asia,4.796,0.764,1.03,0.551,0.547,0.266,0.164
109,2019,Cambodia,Southeastern Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
131,2019,Myanmar,Southeastern Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172
5,2015,Canada,North America,7.427,1.326,1.323,0.906,0.633,0.458,0.33
15,2015,United States,North America,7.119,1.395,1.247,0.862,0.546,0.401,0.159
6,2016,Canada,North America,7.404,1.44,1.096,0.828,0.574,0.448,0.313
13,2016,United States,North America,7.104,1.508,1.048,0.779,0.482,0.411,0.149
7,2017,Canada,North America,7.316,1.479,1.481,0.835,0.611,0.436,0.287
14,2017,United States,North America,6.993,1.546,1.42,0.774,0.506,0.393,0.136
7,2018,Canada,North America,7.328,1.33,1.532,0.896,0.653,0.321,0.291
18,2018,United States,North America,6.886,1.398,1.471,0.819,0.547,0.291,0.133
9,2019,Canada,North America,7.278,1.365,1.505,1.039,0.584,0.285,0.308
19,2019,United States,North America,6.892,1.433,1.457,0.874,0.454,0.28,0.128
11,2015,Israel,Middle East and Northern Africa,7.278,1.229,1.224,0.914,0.413,0.332,0.078
20,2015,United Arab Emirates,Middle East and Northern Africa,6.901,1.427,1.126,0.809,0.642,0.264,0.386
22,2015,Oman,Middle East and Northern Africa,6.853,1.36,1.082,0.763,0.633,0.215,0.325
28,2015,Qatar,Middle East and Northern Africa,6.611,1.69,1.079,0.797,0.64,0.326,0.522
35,2015,Saudi Arabia,Middle East and Northern Africa,6.411,1.395,1.084,0.72,0.31,0.137,0.325
39,2015,Kuwait,Middle East and Northern Africa,6.295,1.554,1.166,0.725,0.555,0.162,0.256
49,2015,Bahrain,Middle East and Northern Africa,5.96,1.324,1.216,0.747,0.455,0.174,0.306
63,2015,Libya,Middle East and Northern Africa,5.754,1.131,1.119,0.704,0.417,0.183,0.11
68,2015,Algeria,Middle East and Northern Africa,5.605,0.939,1.078,0.618,0.286,0.078,0.174
76,2015,Turkey,Middle East and Northern Africa,5.332,1.061,0.946,0.732,0.228,0.123,0.157
82,2015,Jordan,Middle East and Northern Africa,5.192,0.902,1.054,0.696,0.407,0.111,0.143
92,2015,Morocco,Middle East and Northern Africa,5.013,0.735,0.641,0.61,0.417,0.072,0.085
103,2015,Lebanon,Middle East and Northern Africa,4.839,1.026,0.8,0.839,0.339,0.219,0.046
107,2015,Tunisia,Middle East and Northern Africa,4.739,0.881,0.604,0.738,0.263,0.064,0.064
108,2015,Palestinian Territories,Middle East and Northern Africa,4.715,0.599,0.926,0.66,0.245,0.113,0.129
110,2015,Iran,Middle East and Northern Africa,4.686,1.009,0.544,0.698,0.3,0.381,0.059
112,2015,Iraq,Middle East and Northern Africa,4.677,0.985,0.819,0.602,0,0.179,0.138
135,2015,Egypt,Middle East and Northern Africa,4.194,0.882,0.747,0.617,0.173,0.113,0.063
136,2015,Yemen,Middle East and Northern Africa,4.077,0.546,0.681,0.401,0.356,0.091,0.079
156,2015,Syria,Middle East and Northern Africa,3.006,0.663,0.475,0.722,0.157,0.472,0.189
11,2016,Israel,Middle East and Northern Africa,7.267,1.338,0.995,0.849,0.364,0.323,0.087
28,2016,United Arab Emirates,Middle East and Northern Africa,6.573,1.574,0.871,0.73,0.562,0.266,0.356
34,2016,Saudi Arabia,Middle East and Northern Africa,6.379,1.49,0.848,0.593,0.379,0.155,0.3
36,2016,Qatar,Middle East and Northern Africa,6.375,1.824,0.88,0.717,0.567,0.324,0.48
38,2016,Algeria,Middle East and Northern Africa,6.355,1.053,0.833,0.618,0.21,0.07,0.162
41,2016,Kuwait,Middle East and Northern Africa,6.239,1.617,0.878,0.636,0.432,0.16,0.237
42,2016,Bahrain,Middle East and Northern Africa,6.218,1.44,0.944,0.657,0.474,0.171,0.258
67,2016,Libya,Middle East and Northern Africa,5.615,1.067,0.951,0.523,0.407,0.171,0.103
78,2016,Turkey,Middle East and Northern Africa,5.389,1.165,0.877,0.647,0.239,0.047,0.123
80,2016,Jordan,Middle East and Northern Africa,5.303,0.997,0.862,0.607,0.36,0.143,0.133
90,2016,Morocco,Middle East and Northern Africa,5.151,0.841,0.386,0.595,0.256,0.041,0.084
93,2016,Lebanon,Middle East and Northern Africa,5.129,1.123,0.642,0.762,0.262,0.237,0.031
98,2016,Tunisia,Middle East and Northern Africa,5.045,0.977,0.432,0.596,0.236,0.039,0.082
105,2016,Iran,Middle East and Northern Africa,4.813,1.118,0.389,0.642,0.225,0.385,0.056
108,2016,Palestinian Territories,Middle East and Northern Africa,4.754,0.67,0.716,0.568,0.177,0.112,0.106
112,2016,Iraq,Middle East and Northern Africa,4.575,1.075,0.592,0.511,0.249,0.196,0.136
120,2016,Egypt,Middle East and Northern Africa,4.362,0.954,0.498,0.521,0.188,0.127,0.104
147,2016,Yemen,Middle East and Northern Africa,3.724,0.579,0.475,0.31,0.229,0.098,0.059
156,2016,Syria,Middle East and Northern Africa,3.069,0.747,0.149,0.63,0.069,0.484,0.172
11,2017,Israel,Middle East and Northern Africa,7.213,1.375,1.376,0.838,0.406,0.33,0.085
21,2017,United Arab Emirates,Middle East and Northern Africa,6.648,1.626,1.266,0.727,0.608,0.361,0.324
35,2017,Qatar,Middle East and Northern Africa,6.375,1.871,1.274,0.71,0.604,0.33,0.439
37,2017,Saudi Arabia,Middle East and Northern Africa,6.344,1.531,1.287,0.59,0.45,0.148,0.273
39,2017,Kuwait,Middle East and Northern Africa,6.105,1.633,1.26,0.632,0.496,0.228,0.215
41,2017,Bahrain,Middle East and Northern Africa,6.087,1.488,1.323,0.653,0.537,0.173,0.257
53,2017,Algeria,Middle East and Northern Africa,5.872,1.092,1.146,0.618,0.233,0.069,0.146
68,2017,Libya,Middle East and Northern Africa,5.525,1.102,1.358,0.52,0.466,0.152,0.093
69,2017,Turkey,Middle East and Northern Africa,5.5,1.198,1.338,0.638,0.301,0.047,0.1
74,2017,Jordan,Middle East and Northern Africa,5.336,0.991,1.239,0.605,0.418,0.172,0.12
84,2017,Morocco,Middle East and Northern Africa,5.235,0.878,0.775,0.598,0.408,0.032,0.088
88,2017,Lebanon,Middle East and Northern Africa,5.225,1.075,1.13,0.735,0.289,0.264,0.038
102,2017,Tunisia,Middle East and Northern Africa,4.805,1.007,0.868,0.613,0.29,0.05,0.087
103,2017,Palestinian Territories,Middle East and Northern Africa,4.775,0.716,1.156,0.566,0.255,0.114,0.089
104,2017,Egypt,Middle East and Northern Africa,4.735,0.99,0.997,0.52,0.282,0.129,0.114
108,2017,Iran,Middle East and Northern Africa,4.692,1.157,0.712,0.639,0.249,0.387,0.049
117,2017,Iraq,Middle East and Northern Africa,4.497,1.103,0.979,0.501,0.289,0.2,0.107
146,2017,Yemen,Middle East and Northern Africa,3.593,0.592,0.935,0.31,0.249,0.104,0.057
152,2017,Syria,Middle East and Northern Africa,3.462,0.777,0.396,0.501,0.082,0.494,0.151
11,2018,Israel,Middle East and Northern Africa,7.19,1.244,1.433,0.888,0.464,0.262,0.082
20,2018,United Arab Emirates,Middle East and Northern Africa,6.774,2.096,0.776,0.67,0.284,0.186,n/a
32,2018,Qatar,Middle East and Northern Africa,6.374,1.649,1.303,0.748,0.654,0.256,0.171
33,2018,Saudi Arabia,Middle East and Northern Africa,6.371,1.379,1.331,0.633,0.509,0.098,0.127
43,2018,Bahrain,Middle East and Northern Africa,6.105,1.338,1.366,0.698,0.594,0.243,0.123
45,2018,Kuwait,Middle East and Northern Africa,6.083,1.474,1.301,0.675,0.554,0.167,0.106
70,2018,Libya,Middle East and Northern Africa,5.566,0.985,1.35,0.553,0.496,0.116,0.148
74,2018,Turkey,Middle East and Northern Africa,5.483,1.148,1.38,0.686,0.324,0.106,0.109
84,2018,Algeria,Middle East and Northern Africa,5.295,0.979,1.154,0.687,0.077,0.055,0.135
85,2018,Morocco,Middle East and Northern Africa,5.254,0.779,0.797,0.669,0.46,0.026,0.074
88,2018,Lebanon,Middle East and Northern Africa,5.199,0.965,1.166,0.785,0.292,0.187,0.034
90,2018,Jordan,Middle East and Northern Africa,5.161,0.822,1.265,0.645,0.468,0.13,0.134
104,2018,Palestinian Territories,Middle East and Northern Africa,4.743,0.642,1.217,0.602,0.266,0.086,0.076
106,2018,Iran,Middle East and Northern Africa,4.707,1.059,0.771,0.691,0.459,0.282,0.129
111,2018,Tunisia,Middle East and Northern Africa,4.592,0.9,0.906,0.69,0.271,0.04,0.063
117,2018,Iraq,Middle East and Northern Africa,4.456,1.01,0.971,0.536,0.304,0.148,0.095
122,2018,Egypt,Middle East and Northern Africa,4.419,0.885,1.025,0.553,0.312,0.092,0.107
150,2018,Syria,Middle East and Northern Africa,3.462,0.689,0.382,0.539,0.088,0.376,0.144
152,2018,Yemen,Middle East and Northern Africa,3.355,0.442,1.073,0.343,0.244,0.083,0.064
13,2019,Israel,Middle East and Northern Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082
21,2019,United Arab Emirates,Middle East and Northern Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182
28,2019,Saudi Arabia,Middle East and Northern Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132
29,2019,Qatar,Middle East and Northern Africa,6.374,1.684,1.313,0.871,0.555,0.22,0.167
37,2019,Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11
51,2019,Kuwait,Middle East and Northern Africa,6.011,1.05,1.409,0.828,0.557,0.359,0.028
72,2019,Libya,Middle East and Northern Africa,5.525,1.044,1.303,0.673,0.416,0.133,0.152
79,2019,Turkey,Middle East and Northern Africa,5.373,1.183,1.36,0.808,0.195,0.083,0.106
88,2019,Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114
89,2019,Morocco,Middle East and Northern Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076
91,2019,Lebanon,Middle East and Northern Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027
101,2019,Jordan,Middle East and Northern Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13
110,2019,Palestinian Territories,Middle East and Northern Africa,4.696,0.657,1.247,0.672,0.225,0.103,0.066
117,2019,Iran,Middle East and Northern Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125
124,2019,Tunisia,Middle East and Northern Africa,4.461,0.921,1,0.815,0.167,0.059,0.055
126,2019,Iraq,Middle East and Northern Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089
137,2019,Egypt,Middle East and Northern Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067
149,2019,Syria,Middle East and Northern Africa,3.462,0.619,0.378,0.44,0.013,0.331,0.141
151,2019,Yemen,Middle East and Northern Africa,3.38,0.287,1.163,0.463,0.143,0.108,0.077
12,2015,Costa Rica,Latin America and Caribbean,7.226,0.956,1.238,0.86,0.634,0.255,0.106
14,2015,Mexico,Latin America and Caribbean,7.187,1.021,0.915,0.814,0.482,0.141,0.213
16,2015,Brazil,Latin America and Caribbean,6.983,0.981,1.233,0.697,0.49,0.146,0.175
23,2015,Venezuela,Latin America and Caribbean,6.81,1.044,1.256,0.721,0.429,0.058,0.111
25,2015,Panama,Latin America and Caribbean,6.786,1.064,1.199,0.797,0.542,0.244,0.093
27,2015,Chile,Latin America and Caribbean,6.67,1.107,1.124,0.859,0.441,0.334,0.129
30,2015,Argentina,Latin America and Caribbean,6.574,1.054,1.248,0.787,0.45,0.115,0.085
32,2015,Uruguay,Latin America and Caribbean,6.485,1.062,1.209,0.812,0.604,0.232,0.246
33,2015,Colombia,Latin America and Caribbean,6.477,0.919,1.24,0.691,0.535,0.184,0.051
40,2015,Suriname,Latin America and Caribbean,6.269,0.995,0.972,0.608,0.597,0.17,0.136
41,2015,Trinidad and Tobago,Latin America and Caribbean,6.168,1.212,1.184,0.615,0.559,0.318,0.011
42,2015,El Salvador,Latin America and Caribbean,6.13,0.765,1.025,0.677,0.404,0.107,0.118
43,2015,Guatemala,Latin America and Caribbean,6.123,0.746,1.044,0.644,0.577,0.275,0.095
48,2015,Ecuador,Latin America and Caribbean,5.975,0.864,0.999,0.791,0.486,0.115,0.181
51,2015,Bolivia,Latin America and Caribbean,5.89,0.681,0.978,0.539,0.574,0.205,0.088
53,2015,Paraguay,Latin America and Caribbean,5.878,0.76,1.305,0.661,0.539,0.342,0.082
57,2015,Nicaragua,Latin America and Caribbean,5.828,0.593,1.142,0.743,0.555,0.278,0.193
58,2015,Peru,Latin America and Caribbean,5.824,0.9,0.975,0.73,0.415,0.15,0.06
65,2015,Jamaica,Latin America and Caribbean,5.709,0.81,1.151,0.687,0.504,0.212,0.023
98,2015,Dominican Republic,Latin America and Caribbean,4.885,0.895,1.172,0.668,0.577,0.217,0.142
105,2015,Honduras,Latin America and Caribbean,4.788,0.595,0.953,0.695,0.401,0.23,0.068
119,2015,Haiti,Latin America and Caribbean,4.518,0.267,0.743,0.388,0.244,0.462,0.172
14,2016,Costa Rica,Latin America and Caribbean,7.087,1.069,1.022,0.761,0.552,0.226,0.105
17,2016,Brazil,Latin America and Caribbean,6.952,1.088,1.039,0.614,0.404,0.158,0.142
21,2016,Mexico,Latin America and Caribbean,6.778,1.115,0.715,0.711,0.377,0.117,0.184
24,2016,Chile,Latin America and Caribbean,6.705,1.217,0.906,0.819,0.378,0.316,0.115
25,2016,Panama,Latin America and Caribbean,6.701,1.183,0.989,0.708,0.489,0.242,0.084
26,2016,Argentina,Latin America and Caribbean,6.65,1.151,1.066,0.697,0.423,0.11,0.073
29,2016,Uruguay,Latin America and Caribbean,6.545,1.182,1.031,0.722,0.544,0.181,0.214
31,2016,Colombia,Latin America and Caribbean,6.481,1.03,1.022,0.597,0.447,0.156,0.054
39,2016,Guatemala,Latin America and Caribbean,6.324,0.835,0.871,0.54,0.504,0.288,0.087
40,2016,Suriname,Latin America and Caribbean,6.269,1.097,0.779,0.509,0.522,0.167,0.127
43,2016,Trinidad and Tobago,Latin America and Caribbean,6.168,1.326,0.986,0.526,0.485,0.319,0.012
44,2016,Venezuela,Latin America and Caribbean,6.084,1.134,1.033,0.619,0.198,0.043,0.083
46,2016,El Salvador,Latin America and Caribbean,6.068,0.874,0.81,0.596,0.373,0.089,0.106
48,2016,Nicaragua,Latin America and Caribbean,5.992,0.694,0.895,0.652,0.466,0.298,0.163
51,2016,Ecuador,Latin America and Caribbean,5.976,0.973,0.86,0.686,0.403,0.101,0.18
59,2016,Bolivia,Latin America and Caribbean,5.822,0.794,0.838,0.47,0.51,0.217,0.077
64,2016,Peru,Latin America and Caribbean,5.743,0.996,0.813,0.63,0.375,0.145,0.053
70,2016,Paraguay,Latin America and Caribbean,5.538,0.894,1.111,0.583,0.462,0.253,0.074
73,2016,Jamaica,Latin America and Caribbean,5.51,0.893,0.964,0.595,0.436,0.222,0.043
89,2016,Dominican Republic,Latin America and Caribbean,5.155,1.028,0.995,0.577,0.523,0.213,0.124
104,2016,Honduras,Latin America and Caribbean,4.871,0.694,0.756,0.584,0.268,0.204,0.069
136,2016,Haiti,Latin America and Caribbean,4.028,0.341,0.296,0.275,0.121,0.48,0.145
12,2017,Costa Rica,Latin America and Caribbean,7.079,1.11,1.416,0.76,0.58,0.215,0.1
20,2017,Chile,Latin America and Caribbean,6.652,1.253,1.284,0.819,0.377,0.327,0.082
22,2017,Brazil,Latin America and Caribbean,6.635,1.107,1.431,0.617,0.437,0.162,0.111
24,2017,Argentina,Latin America and Caribbean,6.599,1.185,1.44,0.695,0.495,0.109,0.06
25,2017,Mexico,Latin America and Caribbean,6.578,1.153,1.211,0.71,0.413,0.121,0.133
28,2017,Uruguay,Latin America and Caribbean,6.454,1.218,1.412,0.719,0.579,0.175,0.178
29,2017,Guatemala,Latin America and Caribbean,6.454,0.872,1.256,0.54,0.531,0.283,0.077
30,2017,Panama,Latin America and Caribbean,6.452,1.234,1.373,0.706,0.55,0.211,0.071
36,2017,Colombia,Latin America and Caribbean,6.357,1.071,1.402,0.595,0.477,0.149,0.047
38,2017,Trinidad and Tobago,Latin America and Caribbean,6.168,1.361,1.38,0.52,0.519,0.325,0.009
43,2017,Nicaragua,Latin America and Caribbean,6.071,0.737,1.287,0.653,0.448,0.302,0.131
44,2017,Ecuador,Latin America and Caribbean,6.008,1.001,1.286,0.686,0.455,0.15,0.14
45,2017,El Salvador,Latin America and Caribbean,6.003,0.91,1.182,0.596,0.432,0.078,0.09
58,2017,Bolivia,Latin America and Caribbean,5.823,0.834,1.228,0.474,0.559,0.226,0.06
63,2017,Peru,Latin America and Caribbean,5.715,1.035,1.219,0.63,0.45,0.127,0.047
70,2017,Paraguay,Latin America and Caribbean,5.493,0.933,1.507,0.579,0.474,0.224,0.091
76,2017,Jamaica,Latin America and Caribbean,5.311,0.926,1.368,0.641,0.474,0.234,0.055
82,2017,Venezuela,Latin America and Caribbean,5.25,1.128,1.431,0.617,0.154,0.065,0.064
86,2017,Dominican Republic,Latin America and Caribbean,5.23,1.079,1.402,0.575,0.553,0.187,0.114
91,2017,Honduras,Latin America and Caribbean,5.181,0.731,1.144,0.583,0.348,0.236,0.073
145,2017,Haiti,Latin America and Caribbean,3.603,0.369,0.64,0.277,0.03,0.489,0.1
13,2018,Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143,0.101
24,2018,Mexico,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.069,0.095
25,2018,Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.197,0.061
27,2018,Panama,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.125,0.063
28,2018,Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.11,0.088
29,2018,Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.062,0.054
30,2018,Guatemala,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.179,0.071
31,2018,Uruguay,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.13,0.155
37,2018,Colombia,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.099,0.039
38,2018,Trinidad & Tobago,Latin America and Caribbean,6.192,1.223,1.492,0.564,0.575,0.171,0.019
40,2018,El Salvador,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.065,0.082
41,2018,Nicaragua,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.208,0.128
48,2018,Ecuador,Latin America and Caribbean,5.973,0.889,1.33,0.736,0.556,0.114,0.12
56,2018,Jamaica,Latin America and Caribbean,5.89,0.819,1.493,0.693,0.575,0.096,0.031
62,2018,Bolivia,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.141,0.054
64,2018,Paraguay,Latin America and Caribbean,5.681,0.835,1.522,0.615,0.541,0.162,0.074
65,2018,Peru,Latin America and Caribbean,5.663,0.934,1.249,0.674,0.53,0.092,0.034
72,2018,Honduras,Latin America and Caribbean,5.504,0.62,1.205,0.622,0.459,0.197,0.074
83,2018,Dominican Republic,Latin America and Caribbean,5.302,0.982,1.441,0.614,0.578,0.12,0.106
102,2018,Venezuela,Latin America and Caribbean,4.806,0.996,1.469,0.657,0.133,0.056,0.052
148,2018,Haiti,Latin America and Caribbean,3.582,0.315,0.714,0.289,0.025,0.392,0.104
12,2019,Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093
23,2019,Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073
26,2019,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056
27,2019,Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078
31,2019,Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054
32,2019,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099,0.086
33,2019,Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15
35,2019,El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074
39,2019,Trinidad & Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.185,0.016
43,2019,Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034
45,2019,Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127
47,2019,Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05
50,2019,Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087
56,2019,Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028
59,2019,Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078
61,2019,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137,0.064
